lastName,firstName,country,univ
Ahmad,Muhammad Ovais,Sweden,Karlstad University
Almeida,Fernando,Portugal,University of Porto & INESC TEC
Alshayeb,Mohammad,Saudi Arabia,King Fahd University of Petroleum and Minerals
Aziz Butt,Shariq,Pakistan,University of Lahore
Bagnato,Alessandra,France,SOFTEAM R&D Department
Behutiye,Woubshet,Finland,University of Oulu
Bernhart,Mario,Austria,Vienna University of Technology
Biesialska,Katarzyna,Spain,Universitat Politècnica de Catalunya
Borg,Markus,Sweden,SICS Swedish ICT AB
Buchalcevova,Alena,Czech Republic,Prague University of Economics and Business
Cruzes,Daniela,Norway,Norwegian University of Science and Technology
Derezinska,Anna,Poland,"Warsaw University of Technology, Institute of Computer Science"
Drechsler,Andreas,New Zealand,Victoria University of Wellington
Dutta,Arpita,Singapore,National University of Singapore
Essebaa,Imane,Morocco,Hassan II University of Casablanca
Ferreira de Souza ,Érica ,Brazil,Federal University of Technology – Parana
García-Mireles,Gabriel Alberto,Mexico,Universidad de Sonora
Gawin,Bartłomiej,Poland,University of Gdańsk
Ghofrani,Javad,Germany,University of Lübeck
Goczyła,Krzysztof,Poland,Gdańsk University of Technology
Godboley,Sangharatna ,India,NIT Rourkela
Gonzalez Huerta,Javier,Sweden,Blekinge Institute of Technology
Hanslo,Ridewaan,South Africa,Council for Scientific and Industrial Research
Heil,Sebastian,Germany,Chemnitz University of Technology
Hohenstein,Uwe,Germany,Siemens AG
Janes,Andrea,Italy,Free University of Bolzano
Jarzębowicz,Aleksander,Poland,Gdańsk University of Technology
Kakarontzas,George,Greece,Aristotle University of Thessaloniki
Kaloyanova,Kalinka,Bulgaria,Sofia University
Katić,Marija,UK,"Birkbeck, University of London"
Kopczyńska,Sylwia,Poland,Poznań University of Technology
Liebel,Grischa,Iceland,Reykjavik University
Luković,Ivan,Serbia,University of Belgrade
Łukasiewicz,Katarzyna,Poland,Gdańsk University of Technology
Mahnič,Viljan,Slovenia,University of Ljubljana
Mangalaraj,George,USA,Western Illinois University
Marcinkowski,Bartosz,Poland,University of Gdańsk
Matthies,Christoph,Germany,Hasso Plattner Institute at the University of Potsdam
Mazzara,Manuel,Russia,Innopolis University
Mesquida Calafat,Antoni-Lluís,Spain,University of the Balearic Islands
Miler,Jakub,Poland,Gdańsk University of Technology
Miller,Gloria,Germany,Maxmetrics
Misra,Sanjay,Norway ,"Ostfold University College, Halde"
Mohapatra,Durga Prasad,India,NIT Rourkela
Morales Trujillo,Miguel Ehecatl,New Zealand,University of Canterbury
Münch,Jürgen,Germany,Reutlingen University
Muszyńska,Karolina,Poland,University of Szczecin
Naidoo,Rennie,South Africa,The University of Pretoria
Neumann,Michael,Germany,Hochschule Hannover
Noyer,Arne,Germany,Ostfalia University of Applied Sciences
Oktaba,Hanna,Mexico,National Autonomous University of Mexico
Özkan,Necmettin,Turkey,Kuveyt Türk Participation Bank
Panda,Subhrakanta,India,"Birla Institute of Technology and Science, Pilani"
Pereira,Rui Humberto R.,Portugal,Instituto Politécnico do Porto - ISCAP
Poniszewska-Maranda,Aneta,Poland,"Institute of Information Technology, Lodz University of Technology"
Poth,Alexander,Germany,Volkswagen AG
Przybyłek,Michał,Poland,Polish-Japanese Academy of Information Technology
Ramírez Mora,Sandra,Mexico,Universidad Nacional Autónoma de México
Ramsin,Raman,Iran,Sharif University of Technology
Riel,Andreas,France,Grenoble Alpes University
Ristić,Sonja,Serbia,"University of Novi Sad, Faculty of Technical Sciences"
Rossi,Bruno,Czech Republic,Masaryk University
Russo ,Daniel ,Denmark ,Aalborg University - Copenhagen 
Rybola,Zdenek,Czech Republic,FIT CTU in Prague
Santos,Wylliams Barbosa,Brazil,University of Pernambuco
Schön,Eva-Maria,Spain,University of Seville
Senapathi,Mali,New Zealand,Auckland University of Technology
Spichkova,Maria,Australia,RMIT University
Stålhane,Tor,Norway,Norwegian University of Science and Technology
Stettina,Christoph Johann,The Netherlands,Leiden University
Strode,Diane,New Zealand,Whitireia Polytechnic
Tarhan,Ayca,Turkey,Hacettepe University Computer Engineering Department
Taweel,Adel,UK,University of Manchester
Theobald,Sven,Germany,Fraunhofer IESE
Thomaschewski,Jörg,Germany,University of Applied Sciences Emden/Leer
Torrecilla Salinas,Carlos,Spain,University of Seville
Unterkalmsteiner,Michael,Sweden,Blekinge Institute of Technology
Werewka,Jan,Poland,AGH University of Science and Technology
Winter,Dominique,Germany,University of Applied Sciences Emden/Leer
Wysocki,Włodzimierz,Poland,West Pomeranian University of Technology
Yilmaz,Murat,Turkey,Çankaya University
Zakari,Abubakar,Nigeria,Kano University of Science and Technology
